,Широта будинку,Довгота будинку
202,50.4713013,30.5058259
203,50.47314,30.507376
204,50.4730344,30.5082417
205,50.468552,30.513277
206,50.4690536,30.5126725
207,50.4691198,30.5121361
208,50.46911,30.51216
209,50.4698718,30.5100753
210,50.4684922,30.5019929
211,50.4695274,30.5112028
212,50.4710694,30.5140149
213,50.4711541,30.5133889
214,50.4713586,30.5144774
215,50.4719617,30.5146242
216,50.46565,30.5102801
217,50.4666084,30.5085058
218,50.4667654,30.5080011
219,50.4668728,30.5075918
220,50.4698349,30.5031639
221,50.4698615,30.5033689
222,50.4705535,30.504402
223,50.4707295,30.5046755
224,50.474377,30.508045
225,50.4739237,30.508501
226,50.4713226,30.5055594
227,50.4713226,30.5055594
228,50.4704338,30.5045923
229,50.4706321,30.5048303
230,50.4678312,30.5082802
231,50.4700451,30.5117075
232,50.4621143,30.5086528
233,50.4619243,30.5089249
234,50.4611477,30.5100706
235,50.4613543,30.5091258
236,50.4604702,30.5111814
237,50.4603546,30.5114273
238,50.4601645,30.5116994
239,50.4600571,30.5118398
240,50.4599415,30.5120858
241,50.4595614,30.5132456
242,50.4675666,30.5116571
243,50.4670378,30.5114734
244,50.4676988,30.5112002
245,50.4680624,30.5105589
246,50.4676245,30.5104565
247,50.4677237,30.5102678
248,50.46766,30.5099289
249,50.4676411,30.5099377
250,50.471043,30.505569
251,50.4655568,30.510669
252,50.4659311,30.5113778
253,50.4659311,30.5113778
254,50.46622,30.5113106
255,50.46651,30.511685
256,50.46622,30.5113106
257,50.4693501,30.5048846
258,50.4692275,30.5053766
259,50.469495,30.5059239
260,50.469905,30.5053431
261,50.4699463,30.5058931
262,50.4703098,30.5077148
263,50.4708603,30.5066806
264,50.466844,30.509807
265,50.4682939,30.5069884
266,50.4680213,30.5064688
267,50.4680213,30.5064688
268,50.4685996,30.5063164
269,50.4685996,30.5063164
270,50.4688345,30.5053157
271,50.4689136,30.5058464
272,50.469156,30.5045616
273,50.4689797,30.5030012
274,50.4689797,30.5030012
275,50.468826,30.50321
276,50.4641545,30.5130643
277,50.4645355,30.5134561
278,50.4651127,30.5140606
279,50.4662071,30.5158558
280,50.468502,30.51361
281,50.468857,30.512991
282,50.468857,30.512991
283,50.4689163,30.5117318
284,50.4670048,30.5108289
285,50.467261,30.509927
286,50.4674014,30.510689
287,50.467872,30.512507
288,50.467872,30.512507
289,50.4683266,30.5121077
290,50.4688552,30.513666
291,50.4690535,30.5139041
292,50.469351,30.5131836
293,50.4689873,30.5150561
294,50.469384,30.5136848
295,50.4693801,30.5143255
296,50.4696813,30.5148118
297,50.469766,30.5144019
298,50.469766,30.5144019
299,50.470525,30.514884
300,50.4705405,30.5149195
301,50.467585,30.5052594
302,50.4598012,30.5107596
303,50.4579466,30.5110957
304,50.4573644,30.5088385
305,50.4612552,30.5079295
306,50.4613874,30.5074725
307,50.461266,30.5071189
308,50.461266,30.5071189
309,50.461266,30.5071189
310,50.461266,30.5071189
311,50.461266,30.5071189
312,50.4607879,30.5093139
313,50.4607879,30.5093139
314,50.4607879,30.5093139
315,50.4607879,30.5093139
316,50.4607879,30.5093139
317,50.4606091,30.5095455
318,50.4606091,30.5095455
319,50.4606091,30.5095455
320,50.4606091,30.5095455
321,50.460409,30.509776
322,50.460173,30.5091315
323,50.4600986,30.5097733
324,50.4600986,30.5097733
325,50.4600986,30.5097733
326,50.4600986,30.5097733
327,50.4600986,30.5097733
328,50.4595917,30.5099078
329,50.4595917,30.5099078
330,50.4595917,30.5099078
331,50.4607879,30.5093139
332,50.4669302,30.5142414
333,50.4678099,30.5157018
334,50.4677066,30.5158663
335,50.46769,30.5160774
336,50.4684335,30.5164312
337,50.468881,30.5172089
338,50.468881,30.5172089
339,50.468898,30.5176211
340,50.468826,30.5179071
341,50.469238,30.517679
342,50.4692902,30.5190496
343,50.4597267,30.5123666
344,50.4597267,30.5123666
345,50.4596771,30.5125381
346,50.4648962,30.5243465
347,50.464874,30.52353
348,50.4700117,30.5155164
349,50.4701771,30.5143292
350,50.4699871,30.5141396
351,50.4705654,30.5144491
352,50.4710365,30.5128976
353,50.4707307,30.5141855
354,50.470805,30.5140054
355,50.4587519,30.5131203
356,50.4584214,30.5131854
357,50.4583057,30.5135853
358,50.4585371,30.5127856
359,50.458153,30.5133056
360,50.4583884,30.5126841
361,50.4580249,30.5133251
362,50.4577771,30.5134124
363,50.4579092,30.5137249
364,50.4581902,30.5129078
365,50.4580415,30.5128064
366,50.4581902,30.5129078
367,50.4575788,30.5134822
368,50.4577275,30.5137376
369,50.4578928,30.5130125
370,50.4574136,30.5137455
371,50.4574136,30.5137455
372,50.457645,30.5129459
373,50.4574763,30.5135414
374,50.4574763,30.5135414
375,50.4573476,30.5130508
376,50.4575789,30.5131744
377,50.457561,30.513155
378,50.4574947,30.5133168
379,50.4572449,30.5135971
380,50.4594296,30.5104983
381,50.4581896,30.5104905
382,50.4578269,30.510317
383,50.4594296,30.5104983
384,50.4575626,30.5095382
385,50.4581896,30.5104905
386,50.474099,30.528394
387,50.4607879,30.5093139
388,50.4595984,30.5099712
389,50.464526,30.515396
390,50.4659471,30.5138695
391,50.4671945,30.5147128
392,50.4671945,30.5147128
393,50.4679163,30.5136762
394,50.467889,30.513091
395,50.467889,30.513091
396,50.4679489,30.5139569
397,50.4684917,30.5139992
398,50.467486,30.513148
