,Широта школи,Довгота школи
0,50.4903981,30.4634669
1,50.4903981,30.4634669
2,50.4903981,30.4634669
3,50.4903981,30.4634669
4,50.4903981,30.4634669
5,50.4903981,30.4634669
6,50.4903981,30.4634669
7,50.4903981,30.4634669
8,50.4903981,30.4634669
9,50.4903981,30.4634669
10,50.4903981,30.4634669
11,50.4903981,30.4634669
12,50.4903981,30.4634669
13,50.4903981,30.4634669
14,50.4903981,30.4634669
15,50.4903981,30.4634669
16,50.4903981,30.4634669
17,50.4903981,30.4634669
18,50.4903981,30.4634669
19,50.4903981,30.4634669
20,50.4903981,30.4634669
21,50.4903981,30.4634669
22,50.4903981,30.4634669
23,50.4903981,30.4634669
24,50.4903981,30.4634669
25,50.4903981,30.4634669
26,50.4903981,30.4634669
27,50.4903981,30.4634669
28,50.4903981,30.4634669
29,50.4903981,30.4634669
30,50.4903981,30.4634669
31,50.4903981,30.4634669
32,50.4903981,30.4634669
33,50.4903981,30.4634669
34,50.4903981,30.4634669
35,50.4903981,30.4634669
36,50.4903981,30.4634669
37,50.4903981,30.4634669
38,50.4903981,30.4634669
39,50.4903981,30.4634669
40,50.4903981,30.4634669
41,50.4903981,30.4634669
42,50.4903981,30.4634669
43,50.4903981,30.4634669
44,50.4903981,30.4634669
45,50.4903981,30.4634669
46,50.4903981,30.4634669
47,50.4903981,30.4634669
48,50.4903981,30.4634669
49,50.4903981,30.4634669
50,50.4903981,30.4634669
51,50.4903981,30.4634669
52,50.4903981,30.4634669
53,50.4903981,30.4634669
54,50.4903981,30.4634669
55,50.4903981,30.4634669
56,50.4903981,30.4634669
57,50.4903981,30.4634669
58,50.4903981,30.4634669
59,50.4903981,30.4634669
60,50.4903981,30.4634669
61,50.4903981,30.4634669
62,50.4903981,30.4634669
63,50.4903981,30.4634669
64,50.4903981,30.4634669
65,50.4903981,30.4634669
66,50.4903981,30.4634669
67,50.4903981,30.4634669
68,50.4903981,30.4634669
69,50.4903981,30.4634669
70,50.4903981,30.4634669
71,50.4903981,30.4634669
72,50.4903981,30.4634669
73,50.4903981,30.4634669
74,50.4903981,30.4634669
75,50.4903981,30.4634669
76,50.509477,30.4155315
77,50.509477,30.4155315
78,50.509477,30.4155315
79,50.509477,30.4155315
80,50.509477,30.4155315
81,50.509477,30.4155315
82,50.509477,30.4155315
83,50.509477,30.4155315
84,50.509477,30.4155315
85,50.509477,30.4155315
86,50.509477,30.4155315
87,50.509477,30.4155315
88,50.509477,30.4155315
89,50.509477,30.4155315
90,50.509477,30.4155315
91,50.509477,30.4155315
92,50.509477,30.4155315
93,50.509477,30.4155315
94,50.509477,30.4155315
95,50.509477,30.4155315
96,50.509477,30.4155315
97,50.509477,30.4155315
98,50.509477,30.4155315
99,50.509477,30.4155315
100,50.509477,30.4155315
101,50.509477,30.4155315
102,50.509477,30.4155315
103,50.509477,30.4155315
104,50.509477,30.4155315
105,50.509477,30.4155315
106,50.509477,30.4155315
107,50.509477,30.4155315
108,50.509477,30.4155315
109,50.509477,30.4155315
110,50.509477,30.4155315
111,50.5126539,30.4174857
112,50.5126539,30.4174857
113,50.5126539,30.4174857
114,50.5126539,30.4174857
115,50.5126539,30.4174857
116,50.5126539,30.4174857
117,50.5126539,30.4174857
118,50.5126539,30.4174857
119,50.5126539,30.4174857
120,50.5126539,30.4174857
121,50.5126539,30.4174857
122,50.5126539,30.4174857
123,50.5126539,30.4174857
124,50.5126539,30.4174857
125,50.5126539,30.4174857
126,50.5126539,30.4174857
127,50.5126539,30.4174857
128,50.5126539,30.4174857
129,50.5126539,30.4174857
130,50.5126539,30.4174857
131,50.5126539,30.4174857
132,50.5126539,30.4174857
133,50.5126539,30.4174857
134,50.5126539,30.4174857
135,50.5126539,30.4174857
136,50.5126539,30.4174857
137,50.5126539,30.4174857
138,50.5126539,30.4174857
139,50.5126539,30.4174857
140,50.468825,30.508431
141,50.468825,30.508431
142,50.468825,30.508431
143,50.468825,30.508431
144,50.468825,30.508431
145,50.468825,30.508431
146,50.468825,30.508431
147,50.468825,30.508431
148,50.468825,30.508431
149,50.468825,30.508431
150,50.468825,30.508431
151,50.468825,30.508431
152,50.468825,30.508431
153,50.468825,30.508431
154,50.468825,30.508431
155,50.468825,30.508431
156,50.468825,30.508431
157,50.468825,30.508431
158,50.468825,30.508431
159,50.468825,30.508431
160,50.468825,30.508431
161,50.468825,30.508431
162,50.468825,30.508431
163,50.468825,30.508431
164,50.468825,30.508431
165,50.468825,30.508431
166,50.468825,30.508431
167,50.468825,30.508431
168,50.468825,30.508431
169,50.468825,30.508431
170,50.468825,30.508431
171,50.468825,30.508431
172,50.468825,30.508431
173,50.468825,30.508431
174,50.468825,30.508431
175,50.468825,30.508431
176,50.468825,30.508431
177,50.468825,30.508431
178,50.468825,30.508431
179,50.468825,30.508431
180,50.468825,30.508431
181,50.468825,30.508431
182,50.468825,30.508431
183,50.468825,30.508431
184,50.468825,30.508431
185,50.468825,30.508431
186,50.468825,30.508431
187,50.468825,30.508431
188,50.468825,30.508431
189,50.468825,30.508431
190,50.468825,30.508431
191,50.468825,30.508431
192,50.468825,30.508431
193,50.468825,30.508431
194,50.468825,30.508431
195,50.468825,30.508431
196,50.468825,30.508431
197,50.468825,30.508431
198,50.468825,30.508431
199,50.468825,30.508431
200,50.468825,30.508431
201,50.468825,30.508431
202,50.468825,30.508431
203,50.468825,30.508431
204,50.468825,30.508431
205,50.468825,30.508431
206,50.468825,30.508431
207,50.468825,30.508431
208,50.468825,30.508431
209,50.468825,30.508431
210,50.468825,30.508431
211,50.468825,30.508431
212,50.468825,30.508431
213,50.468825,30.508431
214,50.468825,30.508431
215,50.468825,30.508431
216,50.4678642,30.5090895
217,50.4678642,30.5090895
218,50.4678642,30.5090895
219,50.4678642,30.5090895
220,50.4678642,30.5090895
221,50.4678642,30.5090895
222,50.4678642,30.5090895
223,50.4678642,30.5090895
224,50.4678642,30.5090895
225,50.4678642,30.5090895
226,50.4678642,30.5090895
227,50.4678642,30.5090895
228,50.4678642,30.5090895
229,50.4678642,30.5090895
230,50.4678642,30.5090895
231,50.4678642,30.5090895
232,50.4678642,30.5090895
233,50.4678642,30.5090895
234,50.4678642,30.5090895
235,50.4678642,30.5090895
236,50.4678642,30.5090895
237,50.4678642,30.5090895
238,50.4678642,30.5090895
239,50.4678642,30.5090895
240,50.4678642,30.5090895
241,50.4678642,30.5090895
242,50.4678642,30.5090895
243,50.4678642,30.5090895
244,50.4678642,30.5090895
245,50.4678642,30.5090895
246,50.4678642,30.5090895
247,50.4678642,30.5090895
248,50.4678642,30.5090895
249,50.4678642,30.5090895
250,50.4678642,30.5090895
251,50.4678642,30.5090895
252,50.4678642,30.5090895
253,50.4678642,30.5090895
254,50.4678642,30.5090895
255,50.4678642,30.5090895
256,50.4678642,30.5090895
257,50.4678642,30.5090895
258,50.4678642,30.5090895
259,50.4678642,30.5090895
260,50.4678642,30.5090895
261,50.4678642,30.5090895
262,50.4678642,30.5090895
263,50.4678642,30.5090895
264,50.4678642,30.5090895
265,50.4678642,30.5090895
266,50.4678642,30.5090895
