,"Відстань до школи, км",Менше за 0.8км,geometry
433,0.7263449108153797,True,POINT (30.4393288 50.5143503)
434,0.9570196812603647,False,POINT (30.4284787 50.50275)
435,0.9570196812603647,False,POINT (30.4284787 50.50275)
436,0.70541845676361,True,POINT (30.4389637 50.5146559)
437,0.6778126433748718,True,POINT (30.4389809 50.5140275)
438,0.6788181235513375,True,POINT (30.4386115 50.51477970000001)
439,0.6153143813987163,True,POINT (30.4381098 50.5144569)
440,0.6513089231290097,True,POINT (30.4385672 50.5143249)
441,0.45418201313701745,True,POINT (30.4372724 50.5127612)
442,0.2863285508479742,True,POINT (30.4360041 50.511702)
443,0.24312001757066126,True,POINT (30.4355203 50.5119083)
444,0.16841038075528716,True,POINT (30.4350532 50.5109075)
445,0.26485573079030245,True,POINT (30.4358801 50.51031279999999)
446,0.28917336228906115,True,POINT (30.4359824 50.5097933)
447,0.14781491804107702,True,POINT (30.4347629 50.5114364)
448,0.10821361507640036,True,POINT (30.4344462 50.5104211)
449,0.1771315182929051,True,POINT (30.4350085 50.5101154)
450,0.10480179235788933,True,POINT (30.4337146 50.5097572)
451,0.16986565748566645,True,POINT (30.4331157 50.5091284)
452,0.09999664579840964,True,POINT (30.4330194 50.5099799)
453,0.18531715937778465,True,POINT (30.4323943 50.5094255)
454,0.447072708863846,True,POINT (30.4370349 50.5131414)
455,0.3499053933698701,True,POINT (30.4347601 50.5141981)
456,0.20946451336762661,True,POINT (30.433285 50.5129981)
457,0.16506703228017253,True,POINT (30.4327212 50.51227)
458,0.23443249564557112,True,POINT (30.4316297 50.5118723)
459,0.15692585271372375,True,POINT (30.4322632 50.5115338)
460,0.2929555085915723,True,POINT (30.4309074 50.5110118)
461,0.3962121961451335,True,POINT (30.4299744 50.5107465)
462,0.5036468014497113,True,POINT (30.4290077 50.5109337)
463,0.26652094964949,True,POINT (30.4316062 50.5091851)
464,0.2176774055805749,True,POINT (30.4318178 50.5097475)
465,0.32324348231936556,True,POINT (30.4307617 50.50982929999999)
466,0.32349270583244094,True,POINT (30.4306476 50.5104411)
467,0.5487284218705467,True,POINT (30.438477 50.51081079999999)
468,0.64078270042528,True,POINT (30.4393031 50.51102150000001)
469,0.5278452638420369,True,POINT (30.4382635 50.5114032)
470,0.5556527266304013,True,POINT (30.4384889 50.5116536)
471,0.4412294159856593,True,POINT (30.4374914 50.5112731)
472,0.5219493802942187,True,POINT (30.4380819 50.5122161)
473,0.3822056364103162,True,POINT (30.4368405 50.5119506)
474,0.4138963880269594,True,POINT (30.4370855 50.5121521)
475,0.29899966057466776,True,POINT (30.4358462 50.51243770000001)
476,0.35542409888618515,True,POINT (30.4361985 50.5128928)
477,1.894283823934321,False,POINT (30.4249595 50.4910011)
478,1.7188126757236293,False,POINT (30.4234643 50.4923223)
479,1.8181939836455536,False,POINT (30.4243662 50.4925297)
480,1.9057603859776893,False,POINT (30.4251491 50.49234860000001)
481,1.5665771758298697,False,POINT (30.42211 50.4932468)
482,1.647227190620605,False,POINT (30.4228223 50.4923961)
483,1.506994842329528,False,POINT (30.4215733 50.4933125)
484,1.4720109636658547,False,POINT (30.421252 50.4926261)
485,1.8695980591513566,False,POINT (30.4248371 50.49308389999999)
486,1.7591760860740269,False,POINT (30.423843 50.4932814)
487,1.7591760860740269,False,POINT (30.423843 50.4932814)
488,1.569654705412413,False,POINT (30.4221319 50.49361879999999)
