,Адреса будинку,Адреса школи
0,"Україна, м.Київ, Подільський район, вул. Кирилівська, 117","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
1,"Україна, м.Київ, Подільський район, вул. Кирилівська, 119/1","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
2,"Україна, м.Київ, Подільський район, вул. Кирилівська, 121/2","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
3,"Україна, м.Київ, Подільський район, вул. Кирилівська, 123","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
4,"Україна, м.Київ, Подільський район, вул. Кирилівська, 127","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
5,"Україна, м.Київ, Подільський район, вул. Кирилівська, 127а","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
6,"Україна, м.Київ, Подільський район, вул. Кирилівська, 129","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
7,"Україна, м.Київ, Подільський район, вул. Кирилівська, 129а","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
8,"Україна, м.Київ, Подільський район, вул. Кирилівська, 131","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
9,"Україна, м.Київ, Подільський район, вул. Сирецька, 30/1","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
10,"Україна, м.Київ, Подільський район, вул. Сирецька, 32","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
11,"Україна, м.Київ, Подільський район, вул. Сирецька, 3234","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
12,"Україна, м.Київ, Подільський район, вул. Сирецька, 32/2","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
13,"Україна, м.Київ, Подільський район, вул. Сирецька, 36","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
14,"Україна, м.Київ, Подільський район, вул. Сирецька, 38","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
15,"Україна, м.Київ, Подільський район, вул. Сирецька, 38а","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
16,"Україна, м.Київ, Подільський район, вул. Сирецька, 38в","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
17,"Україна, м.Київ, Подільський район, вул. Сирецька, 38г","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
18,"Україна, м.Київ, Подільський район, вул. Сирецька, 40","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
19,"Україна, м.Київ, Подільський район, вул. Сирецька, 42/44","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
20,"Україна, м.Київ, Подільський район, вул. Сирецька, 44","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
21,"Україна, м.Київ, Подільський район, вул. Сирецька, 44а","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
22,"Україна, м.Київ, Подільський район, вул. Сирецька, 46","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
23,"Україна, м.Київ, Подільський район, вул. Сирецька, 46а","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
24,"Україна, м.Київ, Подільський район, вул. Сирецька, 48","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
25,"Україна, м.Київ, Подільський район, вул. Сирецька, 48а","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
26,"Україна, м.Київ, Подільський район, вул. Сирецька, 50","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
27,"Україна, м.Київ, Подільський район, вул. Сирецька, 52","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
28,"Україна, м.Київ, Подільський район, вул. Сирецька, 54","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
29,"Україна, м.Київ, Подільський район, вул. Сирецька, 56","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
30,"Україна, м.Київ, Подільський район, вул. Сирецька, 58","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
31,"Україна, м.Київ, Подільський район, вул. Сирецька, 58а","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
32,"Україна, м.Київ, Подільський район, вул. Сирецька, 60","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
33,"Україна, м.Київ, Подільський район, вул. Сирецька, 62","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
34,"Україна, м.Київ, Подільський район, вул. Сирецька, 64","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
35,"Україна, м.Київ, Подільський район, вул. Сирецька, 66","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
36,"Україна, м.Київ, Подільський район, вул. Сирецька, 68","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
37,"Україна, м.Київ, Подільський район, вул. Сирецька, 68а","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
38,"Україна, м.Київ, Подільський район, вул. Сирецька, 70","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
39,"Україна, м.Київ, Подільський район, вул. Сирецька, 72","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
40,"Україна, м.Київ, Подільський район, вул. Сирецька, 74","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
41,"Україна, м.Київ, Подільський район, вул. Сирецька, 76","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
42,"Україна, м.Київ, Подільський район, вул. Сирецька, 76а","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
43,"Україна, м.Київ, Подільський район, вул. Сирецька, 78а","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
44,"Україна, м.Київ, Подільський район, вул. Сирецька, 78в","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
45,"Україна, м.Київ, Подільський район, вул. Сирецька, 78г","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
46,"Україна, м.Київ, Подільський район, вул. Сирецька, 78Е","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
47,"Україна, м.Київ, Подільський район, вул. Сирецька, 80","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
48,"Україна, м.Київ, Подільський район, вул. Сирецька, 84","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
49,"Україна, м.Київ, Подільський район, вул. Сирецька, 86","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
50,"Україна, м.Київ, Подільський район, вул. Сирецька, 88","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
51,"Україна, м.Київ, Подільський район, вул. Сирецька, 92","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
52,"Україна, м.Київ, Подільський район, вул. Сирецька, 94/2","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
53,"Україна, м.Київ, Подільський район, вул. Сирецька, 96б","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
54,"Україна, м.Київ, Подільський район, вул. Сирецька, 96к3","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
55,"Україна, м.Київ, Подільський район, вул. Сирецька, 96д1","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
56,"Україна, м.Київ, Подільський район, вул. Сирецька, 96д2","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
57,"Україна, м.Київ, Подільський район, вул. Сирецька, 96д4","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
58,"Україна, м.Київ, Подільський район, вул. Копилівська, 65","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
59,"Україна, м.Київ, Подільський район, вул. Копилівська, 67","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
60,"Україна, м.Київ, Подільський район, вул. Копилівська, 67б","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
61,"Україна, м.Київ, Подільський район, вул. Копилівська, 67,к.11","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
62,"Україна, м.Київ, Подільський район, вул. Копилівська, 67,к.12","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
63,"Україна, м.Київ, Подільський район, вул. Копилівська, 67,к.13","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
64,"Україна, м.Київ, Подільський район, вул. Копилівська, 69","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
65,"Україна, м.Київ, Подільський район, вул. Копилівська, 69а","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
66,"Україна, м.Київ, Подільський район, вул. Бондарська, 1/4","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
67,"Україна, м.Київ, Подільський район, вул. Бондарська, 3","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
68,"Україна, м.Київ, Подільський район, вул. Бондарська, 5а","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
69,"Україна, м.Київ, Подільський район, вул. Бондарська, 5/2","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
70,"Україна, м.Київ, Подільський район, вул. Бондарська, 9","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
71,"Україна, м.Київ, Подільський район, вул. Бондарська, 11","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
72,"Україна, м.Київ, Подільський район, вул. Бондарська, 19","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
73,"Україна, м.Київ, Подільський район, вул. Бондарська, 21","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
74,"Україна, м.Київ, Подільський район, вул. Валківська, 3/1","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
75,"Україна, м.Київ, Подільський район, вул. Валківська, 5","Україна, м.Київ, Подільський район, вул. Копилівська, 36"
76,"Україна, м.Київ, Подільський район, проспект В. Порика, 3","Україна, м.Київ, Подільський район, просп. Правди, 84"
77,"Україна, м.Київ, Подільський район, проспект В. Порика, 3а","Україна, м.Київ, Подільський район, просп. Правди, 84"
78,"Україна, м.Київ, Подільський район, проспект В. Порика, 5","Україна, м.Київ, Подільський район, просп. Правди, 84"
79,"Україна, м.Київ, Подільський район, проспект В. Порика, 7а","Україна, м.Київ, Подільський район, просп. Правди, 84"
80,"Україна, м.Київ, Подільський район, проспект В. Порика, 7б","Україна, м.Київ, Подільський район, просп. Правди, 84"
81,"Україна, м.Київ, Подільський район, проспект В. Порика, 9","Україна, м.Київ, Подільський район, просп. Правди, 84"
82,"Україна, м.Київ, Подільський район, проспект В. Порика, 9а","Україна, м.Київ, Подільський район, просп. Правди, 84"
83,"Україна, м.Київ, Подільський район, проспект В. Порика, 9в","Україна, м.Київ, Подільський район, просп. Правди, 84"
84,"Україна, м.Київ, Подільський район, проспект В. Порика, 9г","Україна, м.Київ, Подільський район, просп. Правди, 84"
85,"Україна, м.Київ, Подільський район, проспект В. Порика, 11","Україна, м.Київ, Подільський район, просп. Правди, 84"
86,"Україна, м.Київ, Подільський район, проспект В. Порика, 11а","Україна, м.Київ, Подільський район, просп. Правди, 84"
87,"Україна, м.Київ, Подільський район, проспект В. Порика, 11б","Україна, м.Київ, Подільський район, просп. Правди, 84"
88,"Україна, м.Київ, Подільський район, проспект В. Порика, 11в","Україна, м.Київ, Подільський район, просп. Правди, 84"
89,"Україна, м.Київ, Подільський район, проспект В. Порика, 15","Україна, м.Київ, Подільський район, просп. Правди, 84"
90,"Україна, м.Київ, Подільський район, проспект В. Порика, 15а","Україна, м.Київ, Подільський район, просп. Правди, 84"
91,"Україна, м.Київ, Подільський район, проспект В. Порика, 17","Україна, м.Київ, Подільський район, просп. Правди, 84"
92,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 10","Україна, м.Київ, Подільський район, просп. Правди, 84"
93,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 12","Україна, м.Київ, Подільський район, просп. Правди, 84"
94,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 14","Україна, м.Київ, Подільський район, просп. Правди, 84"
95,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 18","Україна, м.Київ, Подільський район, просп. Правди, 84"
96,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 18а","Україна, м.Київ, Подільський район, просп. Правди, 84"
97,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 18б","Україна, м.Київ, Подільський район, просп. Правди, 84"
98,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 18г","Україна, м.Київ, Подільський район, просп. Правди, 84"
99,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 18д","Україна, м.Київ, Подільський район, просп. Правди, 84"
100,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 18Е","Україна, м.Київ, Подільський район, просп. Правди, 84"
101,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 18Ж","Україна, м.Київ, Подільський район, просп. Правди, 84"
102,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 18З","Україна, м.Київ, Подільський район, просп. Правди, 84"
103,"Україна, м.Київ, Подільський район, проспект Правди, 80","Україна, м.Київ, Подільський район, просп. Правди, 84"
104,"Україна, м.Київ, Подільський район, проспект Правди, 80а","Україна, м.Київ, Подільський район, просп. Правди, 84"
105,"Україна, м.Київ, Подільський район, проспект Правди, 80б","Україна, м.Київ, Подільський район, просп. Правди, 84"
106,"Україна, м.Київ, Подільський район, проспект Правди, 80в","Україна, м.Київ, Подільський район, просп. Правди, 84"
107,"Україна, м.Київ, Подільський район, проспект Правди, 88","Україна, м.Київ, Подільський район, просп. Правди, 84"
108,"Україна, м.Київ, Подільський район, проспект Правди, 88а","Україна, м.Київ, Подільський район, просп. Правди, 84"
109,"Україна, м.Київ, Подільський район, проспект Правди, 88б","Україна, м.Київ, Подільський район, просп. Правди, 84"
110,"Україна, м.Київ, Подільський район, проспект Правди, 90","Україна, м.Київ, Подільський район, просп. Правди, 84"
111,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 20","Україна, м.Київ, Подільський район, просп. Георгія Гонгадзе, 20і"
112,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 20а","Україна, м.Київ, Подільський район, просп. Георгія Гонгадзе, 20і"
113,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 20б","Україна, м.Київ, Подільський район, просп. Георгія Гонгадзе, 20і"
114,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 20в","Україна, м.Київ, Подільський район, просп. Георгія Гонгадзе, 20і"
115,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 20г","Україна, м.Київ, Подільський район, просп. Георгія Гонгадзе, 20і"
116,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 20д","Україна, м.Київ, Подільський район, просп. Георгія Гонгадзе, 20і"
117,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 20Ж","Україна, м.Київ, Подільський район, просп. Георгія Гонгадзе, 20і"
118,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 20З","Україна, м.Київ, Подільський район, просп. Георгія Гонгадзе, 20і"
119,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 20К","Україна, м.Київ, Подільський район, просп. Георгія Гонгадзе, 20і"
120,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 22","Україна, м.Київ, Подільський район, просп. Георгія Гонгадзе, 20і"
121,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 24","Україна, м.Київ, Подільський район, просп. Георгія Гонгадзе, 20і"
122,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 24б","Україна, м.Київ, Подільський район, просп. Георгія Гонгадзе, 20і"
123,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 26","Україна, м.Київ, Подільський район, просп. Георгія Гонгадзе, 20і"
124,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 26а","Україна, м.Київ, Подільський район, просп. Георгія Гонгадзе, 20і"
125,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 28","Україна, м.Київ, Подільський район, просп. Георгія Гонгадзе, 20і"
126,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 30","Україна, м.Київ, Подільський район, просп. Георгія Гонгадзе, 20і"
127,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 32","Україна, м.Київ, Подільський район, просп. Георгія Гонгадзе, 20і"
128,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 32а","Україна, м.Київ, Подільський район, просп. Георгія Гонгадзе, 20і"
129,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 32в","Україна, м.Київ, Подільський район, просп. Георгія Гонгадзе, 20і"
130,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 32Ж","Україна, м.Київ, Подільський район, просп. Георгія Гонгадзе, 20і"
131,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 32з","Україна, м.Київ, Подільський район, просп. Георгія Гонгадзе, 20і"
132,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 32б","Україна, м.Київ, Подільський район, просп. Георгія Гонгадзе, 20і"
133,"Україна, м.Київ, Подільський район, проспект Г. Гонгадзе, 32г","Україна, м.Київ, Подільський район, просп. Георгія Гонгадзе, 20і"
134,"Україна, м.Київ, Подільський район, проспект Правди, 92","Україна, м.Київ, Подільський район, просп. Георгія Гонгадзе, 20і"
135,"Україна, м.Київ, Подільський район, проспект Правди, 94","Україна, м.Київ, Подільський район, просп. Георгія Гонгадзе, 20і"
136,"Україна, м.Київ, Подільський район, проспект Правди, 96","Україна, м.Київ, Подільський район, просп. Георгія Гонгадзе, 20і"
137,"Україна, м.Київ, Подільський район, проспект Правди, 96а","Україна, м.Київ, Подільський район, просп. Георгія Гонгадзе, 20і"
138,"Україна, м.Київ, Подільський район, проспект Правди, 98","Україна, м.Київ, Подільський район, просп. Георгія Гонгадзе, 20і"
139,"Україна, м.Київ, Подільський район, проспект Правди, 100","Україна, м.Київ, Подільський район, просп. Георгія Гонгадзе, 20і"
140,"Україна, м.Київ, Подільський район, провулок Електриків, 3","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
141,"Україна, м.Київ, Подільський район, провулок Електриків, 5","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
142,"Україна, м.Київ, Подільський район, провулок Електриків, 7","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
143,"Україна, м.Київ, Подільський район, провулок Електриків, 9","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
144,"Україна, м.Київ, Подільський район, вул. Електриків, 26/30","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
145,"Україна, м.Київ, Подільський район, вул. Електриків, 26/30а","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
146,"Україна, м.Київ, Подільський район, вул. Електриків, 26/30ак.2","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
147,"Україна, м.Київ, Подільський район, вул. Електриків, 28а","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
148,"Україна, м.Київ, Подільський район, вул. Електриків, 28б","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
149,"Україна, м.Київ, Подільський район, вул. Електриків, 28в","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
150,"Україна, м.Київ, Подільський район, вул. Електриків, 28/1","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
151,"Україна, м.Київ, Подільський район, вул. Електриків, 28/3","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
152,"Україна, м.Київ, Подільський район, вул. Електриків, 28/5","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
153,"Україна, м.Київ, Подільський район, вул. Електриків, 28/6","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
154,"Україна, м.Київ, Подільський район, вул. Електриків, 28/10","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
155,"Україна, м.Київ, Подільський район, вул. Електриків, 28/11","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
156,"Україна, м.Київ, Подільський район, вул. Електриків, 28/12","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
157,"Україна, м.Київ, Подільський район, вул. Електриків, 28/1З","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
158,"Україна, м.Київ, Подільський район, вул. Електриків, 28/І4","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
159,"Україна, м.Київ, Подільський район, вул. Електриків, 28/14а","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
160,"Україна, м.Київ, Подільський район, вул. Електриків, 29/7","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
161,"Україна, м.Київ, Подільський район, вул. Електриків, 30","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
162,"Україна, м.Київ, Подільський район, вул. Електриків, 30/5","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
163,"Україна, м.Київ, Подільський район, вул. Електриків, 31","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
164,"Україна, м.Київ, Подільський район, вул. Введенська, 1","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
165,"Україна, м.Київ, Подільський район, вул. Введенська, 3","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
166,"Україна, м.Київ, Подільський район, вул. Введенська, 4а","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
167,"Україна, м.Київ, Подільський район, вул. Введенська, 5","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
168,"Україна, м.Київ, Подільський район, вул. Введенська, 6","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
169,"Україна, м.Київ, Подільський район, вул. Введенська, 6а","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
170,"Україна, м.Київ, Подільський район, вул. Введенська, 17/9","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
171,"Україна, м.Київ, Подільський район, вул. Введенська, 10","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
172,"Україна, м.Київ, Подільський район, вул. Введенська, 15а","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
173,"Україна, м.Київ, Подільський район, вул. Оленівська, 10","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
174,"Україна, м.Київ, Подільський район, вул. Оленівська, 8","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
175,"Україна, м.Київ, Подільський район, вул. Оленівська, 16","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
176,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 4","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
177,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 7","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
178,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 16а","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
179,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 18а","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
180,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 19а","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
181,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 31","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
182,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 31а","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
183,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 32а","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
184,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 34","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
185,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 36","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
186,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 37а","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
187,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 43","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
188,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 44","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
189,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 45","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
190,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 51","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
191,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 53а","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
192,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 54","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
193,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 55а","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
194,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 56","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
195,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 57","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
196,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 59/5","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
197,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 61","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
198,"Україна, м.Київ, Подільський район, вул. Костянтинівська, 63/12","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
199,"Україна, м.Київ, Подільський район, вул. Притисько-Микільська, 2а","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
200,"Україна, м.Київ, Подільський район, вул. Притисько-Микільська, 9а","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
201,"Україна, м.Київ, Подільський район, вул. Юрківська, 26/32","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
202,"Україна, м.Київ, Подільський район, вул. Юрківська, 18","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
203,"Україна, м.Київ, Подільський район, вул. Юрківська, 25","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
204,"Україна, м.Київ, Подільський район, вул. Юрківська, 28","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
205,"Україна, м.Київ, Подільський район, вул. Межигірська, 26/24","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
206,"Україна, м.Київ, Подільський район, вул. Межигірська, 30б","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
207,"Україна, м.Київ, Подільський район, вул. Межигірська, 32а","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
208,"Україна, м.Київ, Подільський район, вул. Межигірська, 32б","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
209,"Україна, м.Київ, Подільський район, вул. Межигірська, 37","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
210,"Україна, м.Київ, Подільський район, вул. Нижньоюрківська, 5","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
211,"Україна, м.Київ, Подільський район, вул. Щекавицька, 19/33","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
212,"Україна, м.Київ, Подільський район, вул. Щекавицька, 34","Україна, м.Київ, Подільський район, вул. Костянтинівська, 37"
